id,first_name,last_name,email,gender,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score
1,Sumaiya,Hasan,sumaiya.hasan.1@gslingacademy.com,Female,TRUE,21,Lawyer,65,59,76,68,60,67
2,Mim,Alam,mim.alam.2@gslingacademy.com,Female,TRUE,20,Biotechnology,87,67,73,70,79,74
3,Fahim,Khan,fahim.khan.3@gslingacademy.com,Male,TRUE,31,Civil,64,83,84,84,66,85
4,Rafi,Islam,rafi.islam.4@gslingacademy.com,Male,TRUE,21,Civil,85,72,75,76,79,74
5,Tamanna,Kabir,tamanna.kabir.5@gslingacademy.com,Female,FALSE,18,Civil,67,74,56,62,85,87
6,Maliha,Chowdhury,maliha.chowdhury.6@gslingacademy.com,Female,TRUE,13,Civil,75,80,94,79,45,82
7,Nabil,Rahman,nabil.rahman.7@gslingacademy.com,Male,TRUE,12,Biotechnology,78,68,79,89,96,81
8,Hasan,Rahman,hasan.rahman.8@gslingacademy.com,Male,TRUE,15,Lawyer,68,82,79,83,76,79
9,Farhan,Khan,farhan.khan.9@gslingacademy.com,Male,TRUE,27,Civil,72,77,59,60,54,54
10,Sabbir,Hossain,sabbir.hossain.10@gslingacademy.com,Male,TRUE,31,Civil,59,65,69,81,54,58
11,Shakil,Hossain,shakil.hossain.11@gslingacademy.com,Male,TRUE,14,Lawyer,67,48,61,45,77,42
12,Mim,Islam,mim.islam.12@gslingacademy.com,Female,TRUE,30,Civil,71,48,64,63,50,54
13,Rahim,Rahman,rahim.rahman.13@gslingacademy.com,Male,FALSE,18,Lawyer,66,95,85,68,78,90
14,Rahim,Ahmed,rahim.ahmed.14@gslingacademy.com,Male,FALSE,18,Civil,78,56,78,83,74,84
15,Fatima,Uddin,fatima.uddin.15@gslingacademy.com,Female,FALSE,17,Biotechnology,84,82,69,74,81,79
16,Fahim,Hasan,fahim.hasan.16@gslingacademy.com,Male,FALSE,25,Lawyer,76,82,63,70,81,82
17,Anika,Khan,anika.khan.17@gslingacademy.com,Female,TRUE,22,Civil,70,66,66,90,67,67
18,Mim,Uddin,mim.uddin.18@gslingacademy.com,Female,FALSE,11,Civil,72,63,65,47,72,71
19,Mim,Hossain,mim.hossain.19@gslingacademy.com,Female,TRUE,8,Civil,90,88,76,69,84,77
20,Rafi,Hasan,rafi.hasan.20@gslingacademy.com,Male,FALSE,13,Lawyer,70,69,79,70,81,65
21,Tamanna,Ahmed,tamanna.ahmed.21@gslingacademy.com,Female,FALSE,16,Civil,84,56,73,85,79,83
22,Sabbir,Rahman,sabbir.rahman.22@gslingacademy.com,Male,FALSE,29,Civil,83,70,94,71,72,72
23,Maliha,Alam,maliha.alam.23@gslingacademy.com,Female,FALSE,5,Biotechnology,84,84,61,100,82,80
